0,24
1,25
2,26.8
3,28.2
4,29.6
5,31
6,32.4
7,33.8
8,35.2
9,36.6
10,38
11,39.4
12,40.8
13,42.2
14,43.6
15,45
16,46.4
17,47.8
18,49.2
19,50.6
20,52
21,53.4
22,54.8
23,56.2
24,57.6
25,59
26,60.4
27,61.8
28,63.2
29,64.6
30,66
31,67.4
32,68.8
33,70.2
34,71.6
35,73
36,74.4
37,75.8
38,77.2
39,78.6
40,80
41,81.4
42,82.8
43,84.2
44,85.6
45,87
46,88.4
47,89.8
48,91.2
49,92.6
50,94
51,95.4
52,96.8
53,98.2
54,99.6
55,101
56,102.4
57,103.8
58,105.2
59,106.6
60,108
61,109.4
62,110.8
63,112.2
64,113.6
65,115
66,116.4
67,117.8
68,119.2
69,120.6
70,122
71,123.4
72,124.8
73,126.2
74,127.6
75,129
76,130.4
77,131.8
78,133.2
79,134.6
80,136
81,137.4
82,138.8
83,140.2
84,141.6
85,143
86,144.4
87,145.8
88,147.2
89,148.6
90,150
91,150.66
92,151.32
93,151.98
94,152.64
95,153.3
96,153.96
97,154.62
98,155.28
99,155.94
100,156.6
101,157.26
102,157.92
103,158.58
104,159.24
105,159.9
106,160.56
107,161.22
108,161.88
109,162.54
110,163.2
111,163.86
112,164.52
113,165.18
114,165.84
115,166.5
116,167.16
117,167.82
118,168.48
119,169.14
120,169.8
121,170.46
122,171.12
123,171.78
124,172.44
125,173.1
126,173.76
127,174.42
128,175.08
129,175.74
130,176.4
131,177.06
132,177.72
133,178.38
134,179.04
135,179.7
136,180.36
137,181.02
138,181.68
139,182.34
140,183
141,183.66
142,184.32
143,184.98
144,185.64
145,186.3
146,186.96
147,187.62
148,188.28
149,188.94
150,189.6
151,190.26
152,190.92
153,191.58
154,192.24
155,192.9
156,193.56
157,194.22
158,194.88
159,195.54
160,196.2
161,196.86
162,197.52
163,198.18
164,198.84
165,199.5
166,200.16
167,200.82
168,201.48
169,202.14
170,202.8
171,203.46
172,204.12
173,204.78
174,205.44
175,206.1
176,206.76
177,207.42
178,208.08
179,208.74
180,210
181,212
182,214
183,216
184,218
185,220
186,222
187,224
188,226
189,228
190,230
191,232
192,234
193,236
194,238
195,240
196,240
197,240
198,240
199,240
200,240
201,240
202,240
203,240
204,240
205,240
206,240
207,240
208,240
209,240
210,240
211,240
212,240
213,240
214,240
215,240
216,240
217,240
218,240
219,240
220,240
221,240
222,240
223,240
224,240
225,240
226,240
227,240
228,240
229,240
230,240
231,240
232,240
233,240
234,240
235,240
236,240
237,240
238,240
239,240
240,240
241,240
242,240
243,240
244,240
245,240
246,240
247,240
248,240
249,240
250,240
251,235
252,230
253,225
254,220
255,215
256,210
257,205
258,200
259,195
260,190
261,182
262,174
263,166
264,158
265,150
266,142
267,134
268,126
269,118
270,110
271,102
272,94
273,86
274,78
275,70
276,62
277,54
278,46
279,38
280,30
