57,134.6,0.277400,-3.66,27740
58,136.4,0.267500,-3.64,26750
59,138.2,0.257900,-3.63,25790
60,140.0,0.248800,-3.60,24880
61,141.8,0.240000,-3.58,24000
62,143.6,0.231600,-3.56,23160
63,145.4,0.223500,-3.56,22350
64,147.2,0.215700,-3.52,21570
65,149.0,0.208300,-3.50,20830
66,150.8,0.201100,-3.51,20110
67,152.6,0.194200,-3.48,19420
68,154.4,0.187600,-3.44,18760
69,156.2,0.181300,-3.42,18130
70,158.0,0.175200,-3.42,17520
71,159.8,0.169300,-3.40,16930
72,161.6,0.163700,-3.39,16370
73,163.4,0.158200,-3.38,15820
74,165.2,0.153000,-3.33,15300
75,167.0,0.148000,-3.31,14800
76,168.8,0.143200,-3.32,14320
77,170.6,0.138500,-3.32,13850
78,172.4,0.134000,-3.28,13400
79,174.2,0.129700,-3.28,12970
80,176.0,0.125500,-3.27,12550
81,177.8,0.121500,-3.21,12150
82,179.6,0.117700,-3.19,11770
83,181.4,0.114000,-3.20,11400
84,183.2,0.110400,-3.17,11040
85,185.0,0.107000,-3.13,10700
86,186.8,0.103700,-3.13,10370
87,188.6,0.100500,-3.14,10050
88,190.4,0.097380,-3.13,9738
89,192.2,0.094410,-3.09,9441
90,194.0,0.091550,-3.07,9155
91,195.8,0.088780,-3.06,8878
92,197.6,0.086120,-3.04,8612
93,199.4,0.083540,-3.03,8354
94,201.2,0.081060,-3.01,8106
95,203.0,0.078660,-2.99,7866
96,204.8,0.076350,-2.97,7635
97,206.6,0.074120,-2.96,7412
98,208.4,0.071960,-2.95,7196
99,210.2,0.069870,-2.93,6987
100,212.0,0.067860,-2.92,6786
101,213.8,0.065910,-2.91,6591
102,215.6,0.064030,-2.88,6403
103,217.4,0.062220,-2.87,6222
104,219.2,0.060460,-2.86,6046
105,221.0,0.058760,-2.84,5876
106,222.8,0.057120,-2.83,5712
107,224.6,0.055530,-2.82,5553
108,226.4,0.053990,-2.81,5399
109,228.2,0.052500,-2.79,5250
110,230.0,0.051060,-2.77,5106
111,231.8,0.049670,-2.76,4967
112,233.6,0.048320,-2.75,4832
113,235.4,0.047010,-2.73,4701
114,237.2,0.045750,-2.71,4575
115,239.0,0.044530,-2.71,4453
116,240.8,0.043340,-2.70,4334
117,242.6,0.042190,-2.68,4219
118,244.4,0.041080,-2.67,4108
119,246.2,0.040000,-2.65,4000
120,248.0,0.038960,-2.64,3896
121,249.8,0.037940,-2.64,3794
122,251.6,0.036960,-2.61,3696
123,253.4,0.036010,-2.60,3601
124,255.2,0.035090,-2.59,3509
125,257.0,0.034190,-2.59,3419
126,258.8,0.033320,-2.57,3332
127,260.6,0.032480,-2.56,3248
128,262.4,0.031660,-2.54,3166
129,264.2,0.030870,-2.53,3087
130,266.0,0.030100,-2.52,3010
131,267.8,0.029350,-2.50,2935
132,269.6,0.028630,-2.50,2863
133,271.4,0.027920,-2.49,2792
134,273.2,0.027240,-2.46,2724
135,275.0,0.026580,-2.46,2658
136,276.8,0.025930,-2.45,2593
137,278.6,0.025310,-2.43,2531
138,280.4,0.024700,-2.43,2470
139,282.2,0.024110,-2.43,2411
140,284.0,0.023530,-2.42,2353
141,285.8,0.022970,-2.39,2297
142,287.6,0.022430,-2.39,2243
143,289.4,0.021900,-2.37,2190
144,291.2,0.021390,-2.36,2139
145,293.0,0.020890,-2.35,2089
146,294.8,0.020410,-2.33,2041
147,296.6,0.019940,-2.33,1994
148,298.4,0.019480,-2.34,1948
149,300.2,0.019030,-2.29,1903
150,302.0,0.018610,-2.27,1861
151,303.8,0.01818500,-2.31,1819
152,305.6,0.01777100,-2.30,1777
153,307.4,0.01736900,-2.29,1737
154,309.2,0.01697700,-2.28,1698
155,311.0,0.01659600,-2.27,1660
156,312.8,0.01622500,-2.26,1623
157,314.6,0.01586300,-2.25,1586
158,316.4,0.01551200,-2.23,1551
159,318.2,0.01517000,-2.23,1517
160,320.0,0.01483600,-2.22,1484
161,321.8,0.01451200,-2.21,1451
162,323.6,0.01419600,-2.20,1420
163,325.4,0.01388800,-2.19,1389
164,327.2,0.01358800,-2.18,1359
165,329.0,0.01329500,-2.17,1330
166,330.8,0.01301100,-2.16,1301
167,332.6,0.01273300,-2.15,1273
168,334.4,0.01246300,-2.14,1246
169,336.2,0.01220000,-2.13,1220
170,338.0,0.01194300,-2.13,1194
171,339.8,0.01169200,-2.12,1169
172,341.6,0.01144800,-2.11,1145
